# Network & Console Timeline
# Generated: 2026-04-29T17:41:18.613Z
# Columns: [+offset_ms]  category        method  status  duration  url

+     66ms  other           GET     200      61ms  https://devopsdays-119f5.web.app/   
+     92ms  app-asset       GET     200      21ms  https://devopsdays-119f5.web.app/assets/index-DqH95kvE.css   
+    171ms  app-asset       GET     200     100ms  https://devopsdays-119f5.web.app/assets/index-CNvcbjNH.js   
+    945ms  hls-manifest    GET     200     129ms  https://test-streams.mux.dev/x36xhzz/x36xhzz.m3u8   
+   1011ms  hls-manifest    GET     200      66ms  https://test-streams.mux.dev/x36xhzz/url_0/193039199_mp4_h264_aac_hd_7.m3u8   
+   1047ms  hls-segment     GET     200      36ms  https://test-streams.mux.dev/x36xhzz/url_0/url_462/193039199_mp4_h264_aac_hd_7.ts   
+   1385ms  hls-manifest    GET     200      28ms  https://test-streams.mux.dev/x36xhzz/url_8/193039199_mp4_h264_aac_fhd_7.m3u8   
+   1403ms  hls-segment     GET     ERR       6ms  https://test-streams.mux.dev/x36xhzz/url_8/url_591/193039199_mp4_h264_aac_fhd_7.ts ❌
              └─ net::ERR_ABORTED
+   1423ms  hls-manifest    GET     200      27ms  https://test-streams.mux.dev/x36xhzz/url_2/193039199_mp4_h264_aac_ld_7.m3u8   
+   1483ms  hls-segment     GET     200      33ms  https://test-streams.mux.dev/x36xhzz/url_2/url_526/193039199_mp4_h264_aac_ld_7.ts   
+   1552ms  hls-segment     GET     200      11ms  https://test-streams.mux.dev/x36xhzz/url_2/url_527/193039199_mp4_h264_aac_ld_7.ts   
+   1610ms  hls-segment     GET     200      33ms  https://test-streams.mux.dev/x36xhzz/url_2/url_528/193039199_mp4_h264_aac_ld_7.ts   
+   1652ms  hls-segment     GET     200      24ms  https://test-streams.mux.dev/x36xhzz/url_2/url_529/193039199_mp4_h264_aac_ld_7.ts   
+   1719ms  hls-segment     GET     200      33ms  https://test-streams.mux.dev/x36xhzz/url_2/url_530/193039199_mp4_h264_aac_ld_7.ts   
+   1776ms  hls-segment     GET     200      29ms  https://test-streams.mux.dev/x36xhzz/url_2/url_531/193039199_mp4_h264_aac_ld_7.ts   
