"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 30 11:54:59 UTC 2026","Thu Apr 30 11:54:59 UTC 2026","1","ALL_VIDEOS","","","","","all hlsUrl values are valid http(s) URLs","HLS stream URLs must be fully-qualified http(s) addresses ending in .m3u8 so HLS.js can load them."
"passed","Thu Apr 30 11:54:59 UTC 2026","Thu Apr 30 11:54:59 UTC 2026","1","QoECollector","getTimeToFirstFrameMs","","","","markFirstFrameRendered is idempotent — subsequent calls are ignored","Only the first call to markFirstFrameRendered captures the end mark; subsequent calls must not overwrite it."
"passed","Thu Apr 30 11:54:59 UTC 2026","Thu Apr 30 11:55:00 UTC 2026","928","HERO_VIDEO","","","","","is the first video in the ""featured"" row","HERO_VIDEO powers the full-width hero banner; it must be the leading video in the ""featured"" row."
"passed","Thu Apr 30 11:54:59 UTC 2026","Thu Apr 30 11:55:00 UTC 2026","1033","DEMO_SCENARIO_IDS","","","","","always includes ""baseline"" as the first entry","""baseline"" must be the first scenario — it is the reference stream used by other tests."
"passed","Thu Apr 30 11:54:59 UTC 2026","Thu Apr 30 11:55:00 UTC 2026","929","findVideo","","","","","returns undefined for an empty string","An empty string is not a valid video id and must return undefined."
"passed","Thu Apr 30 11:54:59 UTC 2026","Thu Apr 30 11:54:59 UTC 2026","1","ALL_VIDEOS","","","","","all video IDs are unique","Duplicate video IDs would cause React key collisions and routing bugs."
"passed","Thu Apr 30 11:54:59 UTC 2026","Thu Apr 30 11:55:00 UTC 2026","567","QoECollector","getTimeToFirstFrameMs","","","","returns null when only markFirstFrameRendered has been called","Without a playback-request mark there is no start time, so TTFF must remain null even after the first frame is marked."
"passed","Thu Apr 30 11:54:59 UTC 2026","Thu Apr 30 11:54:59 UTC 2026","1","QoECollector","buffering tracking","","","","accumulates multiple buffering events","Each start/end pair must be tracked independently and their durations summed in totalBufferingTime."
"passed","Thu Apr 30 11:55:00 UTC 2026","Thu Apr 30 11:55:00 UTC 2026","22","registerQoeDemoBridge","","","","","preserves the scenario value on the registered bridge","The scenario property must survive registration so Playwright tests can read it from window.__QOE_DEMO__.scenario."
"passed","Thu Apr 30 11:54:59 UTC 2026","Thu Apr 30 11:55:00 UTC 2026","565","QoECollector","bitrate tracking","","","","does not count as a switch when the bitrate stays the same","Receiving the same bitrate value twice must not increment the switch counter."
"passed","Thu Apr 30 11:54:59 UTC 2026","Thu Apr 30 11:54:59 UTC 2026","33","Navbar","","","","","renders the StreamApp brand","The navbar must render the StreamApp brand with its triangle play icon so users always have a visible ""back to home"" affordance."
"passed","Thu Apr 30 11:54:59 UTC 2026","Thu Apr 30 11:55:00 UTC 2026","929","findVideo","","","","","finds every video present in ALL_VIDEOS by its id","findVideo must successfully locate every video that exists in ALL_VIDEOS."
"passed","Thu Apr 30 11:54:59 UTC 2026","Thu Apr 30 11:54:59 UTC 2026","1","parseDemoScenario","","","","","returns ""baseline"" for a string that is a prefix of a valid id","Partial matches must not be accepted — only exact id strings are valid."
"passed","Thu Apr 30 11:54:59 UTC 2026","Thu Apr 30 11:54:59 UTC 2026","2","ALL_VIDEOS","","","","","all scenario values are valid DemoScenarioIds","The scenario field is used to activate QoE fault injection; an unknown id would silently fall back to baseline."
"passed","Thu Apr 30 11:54:59 UTC 2026","Thu Apr 30 11:55:00 UTC 2026","929","HERO_VIDEO","","","","","has a baseline scenario","The hero video should not inject QoE faults — it must use the ""baseline"" scenario."
"passed","Thu Apr 30 11:54:59 UTC 2026","Thu Apr 30 11:55:00 UTC 2026","566","QoECollector","buffering tracking","","","","ignores recordBufferingEnd when no start has been recorded","Calling recordBufferingEnd without a prior recordBufferingStart must be a safe no-op."
"passed","Thu Apr 30 11:54:59 UTC 2026","Thu Apr 30 11:55:00 UTC 2026","1032","DEMO_SCENARIO_LABELS","","","","","has no extra entries beyond the known scenario ids","DEMO_SCENARIO_LABELS must not contain orphaned entries for unknown scenario ids."
"passed","Thu Apr 30 11:54:59 UTC 2026","Thu Apr 30 11:54:59 UTC 2026","6","Navbar","","","","","invokes onHome when the Home nav link is clicked","The Home nav link must call the onHome handler so users can return to the catalog from any page."
"passed","Thu Apr 30 11:54:59 UTC 2026","Thu Apr 30 11:54:59 UTC 2026","2","CATALOG","","","","","the qoe-scenarios row covers all 5 DemoScenarioIds","Every DemoScenarioId must be represented by at least one video in the qoe-scenarios row, ensuring no scenario is left without a test card."
"passed","Thu Apr 30 11:54:59 UTC 2026","Thu Apr 30 11:54:59 UTC 2026","1","QoECollector","bitrate tracking","","","","tracks the last observed bitrate","lastBitrate must always reflect the most recently recorded bitrate value."
"passed","Thu Apr 30 11:54:59 UTC 2026","Thu Apr 30 11:54:59 UTC 2026","1","QoECollector","getTimeToFirstFrameMs","","","","returns null before markPlaybackRequested is called","TTFF cannot be computed before the playback request has been marked — must return null."
"passed","Thu Apr 30 11:54:59 UTC 2026","Thu Apr 30 11:54:59 UTC 2026","1","DEMO_SCENARIO_IDS","","","","","contains exactly 5 scenario ids","The catalogue must expose exactly 5 QoE demo scenarios."
"passed","Thu Apr 30 11:54:59 UTC 2026","Thu Apr 30 11:55:00 UTC 2026","566","QoECollector","buffering tracking","","","","recordBufferingStart is idempotent while a buffering event is open","A second recordBufferingStart while an event is already open must be ignored — the original start time is preserved."
"passed","Thu Apr 30 11:55:00 UTC 2026","Thu Apr 30 11:55:00 UTC 2026","21","unregisterQoeDemoBridge","","","","","removes window.__QOE_DEMO__ when a bridge is registered","unregisterQoeDemoBridge must delete window.__QOE_DEMO__ so tests that navigate away from the player cannot call a stale bridge."
"passed","Thu Apr 30 11:54:59 UTC 2026","Thu Apr 30 11:55:00 UTC 2026","567","QoECollector","getTimeToFirstFrameMs","","","","markPlaybackRequested is idempotent — subsequent calls are ignored","Only the first call to markPlaybackRequested sets the start mark; subsequent calls must be silently ignored so TTFF is not reset mid-session."
"passed","Thu Apr 30 11:54:59 UTC 2026","Thu Apr 30 11:54:59 UTC 2026","1","QoECollector","error tracking","","","","increments the error count for each recorded error","Each call to recordError must increment the error count by exactly one."
"passed","Thu Apr 30 11:54:59 UTC 2026","Thu Apr 30 11:54:59 UTC 2026","1","QoECollector","initial state","","","","starts with zero bitrate switches and null lastBitrate","No bitrate switches must be recorded until the first bitrateChange event fires."
"passed","Thu Apr 30 11:54:59 UTC 2026","Thu Apr 30 11:55:00 UTC 2026","937","CATALOG","","","","","every row contains at least one video","Rendering an empty row would produce a blank carousel — every row must have ≥ 1 video."
"passed","Thu Apr 30 11:54:59 UTC 2026","Thu Apr 30 11:55:00 UTC 2026","1033","parseDemoScenario","","","","","is case-sensitive — mixed-case ids fall back to baseline","Scenario ids are case-sensitive; mixed-case variants must fall back to ""baseline""."
"passed","Thu Apr 30 11:54:59 UTC 2026","Thu Apr 30 11:55:00 UTC 2026","929","findVideo","","","","","returns undefined for an unknown id","findVideo must return undefined when no video matches the given id."
"passed","Thu Apr 30 11:55:00 UTC 2026","Thu Apr 30 11:55:00 UTC 2026","1","unregisterQoeDemoBridge","","","","","is safe to call when no bridge is registered (idempotent)","Calling unregisterQoeDemoBridge when no bridge is registered must not throw — it should be a safe no-op."
"passed","Thu Apr 30 11:54:59 UTC 2026","Thu Apr 30 11:55:00 UTC 2026","566","QoECollector","error tracking","","","","accumulates errors independently — each call adds exactly one","Duplicate error codes are valid (the same error can recur); each call must add one entry regardless of code."
"passed","Thu Apr 30 11:54:59 UTC 2026","Thu Apr 30 11:54:59 UTC 2026","8","Navbar","","","","","invokes onHome when the brand is clicked","Clicking the StreamApp brand must navigate the user back to the home page — the brand button is the primary ""escape hatch"" out of any sub-page."
"passed","Thu Apr 30 11:54:59 UTC 2026","Thu Apr 30 11:55:00 UTC 2026","566","QoECollector","bitrate tracking","","","","counts multiple switches correctly","The switch counter must accurately reflect the number of quality-level transitions across the session."
"passed","Thu Apr 30 11:54:59 UTC 2026","Thu Apr 30 11:54:59 UTC 2026","1","QoECollector","getTimeToFirstFrameMs","","","","returns the elapsed ms between request and first frame","TTFF = firstFrameMark − playbackRequestMark, measured in milliseconds via performance.now()."
"passed","Thu Apr 30 11:54:59 UTC 2026","Thu Apr 30 11:55:00 UTC 2026","1033","DEMO_SCENARIO_LABELS","","","","","all labels are non-empty strings","Each label value must be a non-empty string suitable for display in a UI."
"passed","Thu Apr 30 11:54:59 UTC 2026","Thu Apr 30 11:55:00 UTC 2026","566","QoECollector","sendMetrics in silent mode","","","","resolves without throwing","In silent mode (used in CI without a backend) sendMetrics must return immediately without making any HTTP call or throwing."
"passed","Thu Apr 30 11:54:59 UTC 2026","Thu Apr 30 11:55:00 UTC 2026","566","QoECollector","bitrate tracking","","","","does not count the first bitrate set as a switch","The first bitrateChange event establishes a baseline; it must not be counted as a quality-level switch."
"passed","Thu Apr 30 11:54:59 UTC 2026","Thu Apr 30 11:54:59 UTC 2026","3","QoECollector","initial state","","","","starts with zero buffering count and time","A freshly constructed QoECollector must report zero buffering events and zero accumulated buffering time."
"passed","Thu Apr 30 11:54:59 UTC 2026","Thu Apr 30 11:55:00 UTC 2026","928","findVideo","","","","","returns the exact same object reference (no clone)","findVideo should return the same reference stored in ALL_VIDEOS, not a copy, to enable identity comparisons."
"passed","Thu Apr 30 11:54:59 UTC 2026","Thu Apr 30 11:54:59 UTC 2026","1","CATALOG","","","","","contains a ""qoe-scenarios"" row","The QoE demo scenarios row must be present for the workshop demo to function."
