"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","QoE Collector","4","0","Initial State","0"
"0","","0","Video Catalog","8","0","ALL_VIDEOS","0"
"0","","0","QoE Collector","2","0","Error Tracking","0"
"0","","0","QoE Collector","6","0","Time to First Frame","0"
"0","","0","Video Catalog","4","0","findVideo","0"
"0","","0","Video Catalog","3","0","HERO_VIDEO","0"
"0","","0","QoE Collector","5","0","Bitrate Tracking","0"
"0","","0","Demo Scenarios","2","0","DEMO_SCENARIO_IDS","0"
"0","","0","Demo Scenarios","4","0","parseDemoScenario","0"
"0","","0","QoE Demo Bridge","2","0","unregisterQoeDemoBridge","0"
"0","","0","Video Catalog","5","0","CATALOG structure","0"
"0","","0","QoE Collector","5","0","Buffering Tracking","0"
"0","","0","Video Catalog","1","0","QoE Demo Coverage","0"
"0","","0","Demo Scenarios","3","0","DEMO_SCENARIO_LABELS","0"
"0","","0","QoE Demo Bridge","3","0","registerQoeDemoBridge","0"
"0","","0","QoE Collector","1","0","Metrics Ingest","0"
