"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"No bitrate switches must be recorded until the first bitrateChange event fires.","1","starts with zero bitrate switches and null lastBitrate","QoECollector","2026-04-27","passed","2026-04-27","","initial state","",""
"Every video must have the three fields required for display in a VideoTile component.","1","all videos have non-empty id, title, and description","ALL_VIDEOS","2026-04-27","passed","2026-04-27","","","",""
"Duplicate error codes are valid (the same error can recur); each call must add one entry regardless of code.","672","accumulates errors independently — each call adds exactly one","QoECollector","2026-04-27","passed","2026-04-27","","error tracking","",""
"TTFF = firstFrameMark − playbackRequestMark, measured in milliseconds via performance.now().","1","returns the elapsed ms between request and first frame","QoECollector","2026-04-27","passed","2026-04-27","","getTimeToFirstFrameMs","",""
"TTFF cannot be computed before the playback request has been marked — must return null.","677","returns null before markPlaybackRequested is called","QoECollector","2026-04-27","passed","2026-04-27","","getTimeToFirstFrameMs","",""
"findVideo must return undefined when no video matches the given id.","705","returns undefined for an unknown id","findVideo","2026-04-27","passed","2026-04-27","","","",""
"Each QoECollector instance must be fully independent — mutating one must not affect another.","677","generates a unique sessionId for each instance (observable via lastBitrate independence)","QoECollector","2026-04-27","passed","2026-04-27","","initial state","",""
"HERO_VIDEO must be reachable via findVideo so detail pages work when navigating from the hero banner.","705","is findable by its id","HERO_VIDEO","2026-04-27","passed","2026-04-27","","","",""
"The switch counter must accurately reflect the number of quality-level transitions across the session.","1","counts multiple switches correctly","QoECollector","2026-04-27","passed","2026-04-27","","bitrate tracking","",""
"Each call to recordError must increment the error count by exactly one.","1","increments the error count for each recorded error","QoECollector","2026-04-27","passed","2026-04-27","","error tracking","",""
"""baseline"" must be the first scenario — it is the reference stream used by other tests.","1","always includes ""baseline"" as the first entry","DEMO_SCENARIO_IDS","2026-04-27","passed","2026-04-27","","","",""
"Null, empty string, and unrecognised values must all fall back to the ""baseline"" scenario.","3","defaults invalid values to baseline","parseDemoScenario","2026-04-27","passed","2026-04-27","","","",""
"unregisterQoeDemoBridge must delete window.__QOE_DEMO__ so tests that navigate away from the player cannot call a stale bridge.","21","removes window.__QOE_DEMO__ when a bridge is registered","unregisterQoeDemoBridge","2026-04-27","passed","2026-04-27","","","",""
"Without a playback-request mark there is no start time, so TTFF must remain null even after the first frame is marked.","1","returns null when only markFirstFrameRendered has been called","QoECollector","2026-04-27","passed","2026-04-27","","getTimeToFirstFrameMs","",""
"Partial matches must not be accepted — only exact id strings are valid.","722","returns ""baseline"" for a string that is a prefix of a valid id","parseDemoScenario","2026-04-27","passed","2026-04-27","","","",""
"The QoE demo scenarios row must be present for the workshop demo to function.","1","contains a ""qoe-scenarios"" row","CATALOG","2026-04-27","passed","2026-04-27","","","",""
"Each start/end pair must be tracked independently and their durations summed in totalBufferingTime.","1","accumulates multiple buffering events","QoECollector","2026-04-27","passed","2026-04-27","","buffering tracking","",""
"Receiving the same bitrate value twice must not increment the switch counter.","1","does not count as a switch when the bitrate stays the same","QoECollector","2026-04-27","passed","2026-04-27","","bitrate tracking","",""
"Every DemoScenarioId must be represented by at least one video in the qoe-scenarios row, ensuring no scenario is left without a test card.","1","the qoe-scenarios row covers all 5 DemoScenarioIds","CATALOG","2026-04-27","passed","2026-04-27","","","",""
"Every catalog row must have a non-empty id (used as a React key) and a display label.","712","every row has a non-empty id and label","CATALOG","2026-04-27","passed","2026-04-27","","","",""
"Error count must be zero before any playback errors are recorded.","1","starts with zero errors","QoECollector","2026-04-27","passed","2026-04-27","","initial state","",""
