"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","QoE API","0","Metrics","19","0","Multi-platform ingest and query","0"
"0","Video Catalog API","0","List Videos","1","0","Filter by category returns matching videos only","0"
"0","QoE API","0","Metrics","1","0","Unknown platform rejected","0"
"0","Video Catalog API","0","Delete Video","1","0","Delete video returns 204 and video no longer appears in listings","0"
"0","QoE API","0","Pipeline acceptance","1","0","Unknown platform rejected","0"
"0","Video Catalog API","0","Create Video","1","0","Duplicate videoId returns 400 Bad Request","0"
"0","QoE API","0","OpenAPI","1","0","Discovery","0"
"0","Video Catalog API","0","Manifest","1","0","Get manifest returns HLS and DASH URLs","0"
"0","Video Catalog API","0","Update Video","1","0","Update an existing video replaces all fields","0"
"0","Video Catalog API","0","Search Videos","1","0","Search by title keyword returns matching videos","0"
