# Network & Console Timeline
# Generated: 2026-04-27T14:52:16.144Z
# Columns: [+offset_ms]  category        method  status  duration  url

+      8ms  other           GET     200       4ms  http://localhost:3000/?scenario=baseline&e2e_autoplay=1   
+     18ms  app-asset       GET     200       3ms  http://localhost:3000/assets/index-BQ-6yWm3.css   
+     62ms  app-asset       GET     200      47ms  http://localhost:3000/assets/index-2K0fXo0K.js   
+    141ms  hls-manifest    GET     200      23ms  https://test-streams.mux.dev/x36xhzz/x36xhzz.m3u8   
+    163ms  hls-manifest    GET     200      21ms  https://test-streams.mux.dev/x36xhzz/url_0/193039199_mp4_h264_aac_hd_7.m3u8   
+    173ms  hls-segment     GET     200      10ms  https://test-streams.mux.dev/x36xhzz/url_0/url_462/193039199_mp4_h264_aac_hd_7.ts   
+    259ms  hls-manifest    GET     200       5ms  https://test-streams.mux.dev/x36xhzz/url_8/193039199_mp4_h264_aac_fhd_7.m3u8   
+    286ms  hls-segment     GET     200      23ms  https://test-streams.mux.dev/x36xhzz/url_8/url_591/193039199_mp4_h264_aac_fhd_7.ts   
+    477ms  hls-segment     GET     200      22ms  https://test-streams.mux.dev/x36xhzz/url_8/url_592/193039199_mp4_h264_aac_fhd_7.ts   
+    595ms  hls-segment     GET     200      22ms  https://test-streams.mux.dev/x36xhzz/url_8/url_593/193039199_mp4_h264_aac_fhd_7.ts   
+    760ms  hls-segment     GET     200       6ms  https://test-streams.mux.dev/x36xhzz/url_8/url_594/193039199_mp4_h264_aac_fhd_7.ts   
+    870ms  hls-segment     GET     200      18ms  https://test-streams.mux.dev/x36xhzz/url_8/url_595/193039199_mp4_h264_aac_fhd_7.ts   
+    983ms  hls-segment     GET     200       8ms  https://test-streams.mux.dev/x36xhzz/url_8/url_596/193039199_mp4_h264_aac_fhd_7.ts   
+   1052ms  hls-segment     GET     200      15ms  https://test-streams.mux.dev/x36xhzz/url_8/url_597/193039199_mp4_h264_aac_fhd_7.ts   
+   5125ms  qoe-api         POST    200       2ms  http://localhost:3000/api/v1/metrics   
+  10121ms  qoe-api         POST    200       2ms  http://localhost:3000/api/v1/metrics   
+  15121ms  qoe-api         POST    200       2ms  http://localhost:3000/api/v1/metrics   
+  20121ms  qoe-api         POST    200       2ms  http://localhost:3000/api/v1/metrics   
+  25121ms  qoe-api         POST    200       2ms  http://localhost:3000/api/v1/metrics   
+  30122ms  qoe-api         POST    200       1ms  http://localhost:3000/api/v1/metrics   
+  35121ms  qoe-api         POST    200       2ms  http://localhost:3000/api/v1/metrics   
+  40121ms  qoe-api         POST    200       2ms  http://localhost:3000/api/v1/metrics   
+  45121ms  qoe-api         POST    200       2ms  http://localhost:3000/api/v1/metrics   
+  50121ms  qoe-api         POST    200       2ms  http://localhost:3000/api/v1/metrics   
+  55121ms  qoe-api         POST    200       1ms  http://localhost:3000/api/v1/metrics   
+  60120ms  qoe-api         POST    200       1ms  http://localhost:3000/api/v1/metrics   
+  65121ms  qoe-api         POST    200       2ms  http://localhost:3000/api/v1/metrics   
+  70121ms  qoe-api         POST    200       2ms  http://localhost:3000/api/v1/metrics   
+  75121ms  qoe-api         POST    200       2ms  http://localhost:3000/api/v1/metrics   
+  80120ms  qoe-api         POST    200       1ms  http://localhost:3000/api/v1/metrics   
+  85120ms  qoe-api         POST    200       1ms  http://localhost:3000/api/v1/metrics   
