# Network & Console Timeline
# Generated: 2026-04-27T14:54:01.079Z
# Columns: [+offset_ms]  category        method  status  duration  url

+     12ms  other           GET     200       4ms  http://localhost:3000/?scenario=baseline&e2e_autoplay=1   
+     27ms  app-asset       GET     200       6ms  http://localhost:3000/assets/index-BQ-6yWm3.css   
+     72ms  app-asset       GET     200      51ms  http://localhost:3000/assets/index-2K0fXo0K.js   
+    176ms  hls-manifest    GET     200      36ms  https://test-streams.mux.dev/x36xhzz/x36xhzz.m3u8   
+    201ms  hls-manifest    GET     200      25ms  https://test-streams.mux.dev/x36xhzz/url_0/193039199_mp4_h264_aac_hd_7.m3u8   
+    211ms  hls-segment     GET     200      10ms  https://test-streams.mux.dev/x36xhzz/url_0/url_462/193039199_mp4_h264_aac_hd_7.ts   
+    307ms  hls-manifest    GET     200       9ms  https://test-streams.mux.dev/x36xhzz/url_8/193039199_mp4_h264_aac_fhd_7.m3u8   
+    330ms  hls-segment     GET     200      22ms  https://test-streams.mux.dev/x36xhzz/url_8/url_591/193039199_mp4_h264_aac_fhd_7.ts   
+    548ms  hls-segment     GET     200      17ms  https://test-streams.mux.dev/x36xhzz/url_8/url_592/193039199_mp4_h264_aac_fhd_7.ts   
+    705ms  hls-segment     GET     200      20ms  https://test-streams.mux.dev/x36xhzz/url_8/url_593/193039199_mp4_h264_aac_fhd_7.ts   
+    894ms  hls-segment     GET     200      18ms  https://test-streams.mux.dev/x36xhzz/url_8/url_594/193039199_mp4_h264_aac_fhd_7.ts   
+   1039ms  hls-segment     GET     200      21ms  https://test-streams.mux.dev/x36xhzz/url_8/url_595/193039199_mp4_h264_aac_fhd_7.ts   
+   1180ms  hls-segment     GET     200      14ms  https://test-streams.mux.dev/x36xhzz/url_8/url_596/193039199_mp4_h264_aac_fhd_7.ts   
+   1283ms  hls-segment     GET     200      30ms  https://test-streams.mux.dev/x36xhzz/url_8/url_597/193039199_mp4_h264_aac_fhd_7.ts   
+   5143ms  qoe-api         POST    200       2ms  http://localhost:3000/api/v1/metrics   
+  10140ms  qoe-api         POST    200       2ms  http://localhost:3000/api/v1/metrics   
+  15140ms  qoe-api         POST    200       2ms  http://localhost:3000/api/v1/metrics   
+  20141ms  qoe-api         POST    200       3ms  http://localhost:3000/api/v1/metrics   
+  25140ms  qoe-api         POST    200       2ms  http://localhost:3000/api/v1/metrics   
+  30140ms  qoe-api         POST    200       2ms  http://localhost:3000/api/v1/metrics   
+  35141ms  qoe-api         POST    200       3ms  http://localhost:3000/api/v1/metrics   
+  40140ms  qoe-api         POST    200       2ms  http://localhost:3000/api/v1/metrics   
+  45140ms  qoe-api         POST    200       2ms  http://localhost:3000/api/v1/metrics   
+  50140ms  qoe-api         POST    200       2ms  http://localhost:3000/api/v1/metrics   
+  55140ms  qoe-api         POST    200       2ms  http://localhost:3000/api/v1/metrics   
+  60140ms  qoe-api         POST    200       2ms  http://localhost:3000/api/v1/metrics   
+  65140ms  qoe-api         POST    200       2ms  http://localhost:3000/api/v1/metrics   
+  70140ms  qoe-api         POST    200       2ms  http://localhost:3000/api/v1/metrics   
+  75140ms  qoe-api         POST    200       2ms  http://localhost:3000/api/v1/metrics   
+  80140ms  qoe-api         POST    200       2ms  http://localhost:3000/api/v1/metrics   
+  85141ms  qoe-api         POST    200       3ms  http://localhost:3000/api/v1/metrics   
