"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 28 03:02:34 UTC 2026","Tue Apr 28 03:02:34 UTC 2026","94","","TestResults","","QoePlayerTests.BATTests","test_bat_payloadPlatformIsIos","test_bat_payloadPlatformIsIos",""
"passed","Tue Apr 28 03:02:34 UTC 2026","Tue Apr 28 03:02:34 UTC 2026","86","","TestResults","","QoePlayerTests.BATTests","test_bat_catalogIsNotEmpty","test_bat_catalogIsNotEmpty",""
"passed","Tue Apr 28 03:02:34 UTC 2026","Tue Apr 28 03:02:34 UTC 2026","76","","TestResults","","QoePlayerTests.BATTests","test_bat_initialBufferingTimeIsZero","test_bat_initialBufferingTimeIsZero",""
"passed","Tue Apr 28 03:02:34 UTC 2026","Tue Apr 28 03:02:34 UTC 2026","126","","TestResults","","QoePlayerTests.BATTests","test_bat_baselineVideoExists","test_bat_baselineVideoExists",""
"passed","Tue Apr 28 03:02:34 UTC 2026","Tue Apr 28 03:02:34 UTC 2026","88","","TestResults","","QoePlayerTests.BATTests","test_bat_payloadModelEncodes","test_bat_payloadModelEncodes",""
"passed","Tue Apr 28 03:02:34 UTC 2026","Tue Apr 28 03:02:34 UTC 2026","114","","TestResults","","QoePlayerTests.BATTests","test_bat_qualityCalculatorReturnsKnownLabel","test_bat_qualityCalculatorReturnsKnownLabel",""
"passed","Tue Apr 28 03:02:34 UTC 2026","Tue Apr 28 03:02:34 UTC 2026","104","","TestResults","","QoePlayerTests.BATTests","test_bat_sessionIdIsNotEmpty","test_bat_sessionIdIsNotEmpty",""
"passed","Tue Apr 28 03:02:34 UTC 2026","Tue Apr 28 03:02:34 UTC 2026","114","","TestResults","","QoePlayerTests.BATTests","test_bat_perfectPlaybackIsExcellent","test_bat_perfectPlaybackIsExcellent",""
"passed","Tue Apr 28 03:02:34 UTC 2026","Tue Apr 28 03:02:34 UTC 2026","92","","TestResults","","QoePlayerTests.BATTests","test_bat_sessionIdStartsWithIosPrefix","test_bat_sessionIdStartsWithIosPrefix",""
"passed","Tue Apr 28 03:02:34 UTC 2026","Tue Apr 28 03:02:34 UTC 2026","91","","TestResults","","QoePlayerTests.BATTests","test_bat_catalogHasExpectedSize","test_bat_catalogHasExpectedSize",""
"passed","Tue Apr 28 03:02:34 UTC 2026","Tue Apr 28 03:02:34 UTC 2026","126","","TestResults","","QoePlayerTests.BATTests","test_bat_allCatalogVideosHaveM3u8Urls","test_bat_allCatalogVideosHaveM3u8Urls",""
"passed","Tue Apr 28 03:02:34 UTC 2026","Tue Apr 28 03:02:34 UTC 2026","88","","TestResults","","QoePlayerTests.BATTests","test_bat_initialErrorsIsEmpty","test_bat_initialErrorsIsEmpty",""
"passed","Tue Apr 28 03:02:34 UTC 2026","Tue Apr 28 03:02:34 UTC 2026","91","","TestResults","","QoePlayerTests.BATTests","test_bat_collectorCreatesWithVideoId","test_bat_collectorCreatesWithVideoId",""
"passed","Tue Apr 28 03:02:34 UTC 2026","Tue Apr 28 03:02:34 UTC 2026","126","","TestResults","","QoePlayerTests.BATTests","test_bat_allCatalogVideosHaveHttpsUrls","test_bat_allCatalogVideosHaveHttpsUrls",""
