"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Platform","0","Key resolution","19","0","Known key round-trips to the same enum value","0"
"0","Pipeline Acceptance","0","Record platform","19","0","All known platform keys are accepted","0"
"0","Video Catalog","0","Update video","1","0","Updating non-existent video throws VideoNotFoundException","0"
"0","Pipeline Acceptance","0","Finalize run","1","0","Run is RELEASED when pass rate meets threshold","0"
"0","Platform","0","Key resolution","9","0","Key lookup is case-insensitive","0"
"0","Video Catalog","0","Get video by ID","1","0","Returns empty when video does not exist","0"
"0","Platform","0","Key resolution","4","0","Unknown key throws IllegalArgumentException","0"
"0","Video Catalog","0","Update video","1","0","All mutable fields are replaced","0"
"0","Video Catalog","0","Search videos","1","0","Null query falls back to returning all active videos","0"
"0","Platform","0","Key resolution","1","0","Null key throws IllegalArgumentException","0"
"0","Pipeline Acceptance","0","Record platform","1","0","Unknown platform key is rejected","0"
"0","Platform","0","Key resolution","1","0","tryFromKey returns Optional.empty for invalid inputs","0"
"0","Video Catalog","0","Create video","1","0","Duplicate videoId is rejected","0"
"0","Video Catalog","0","Create video","1","0","New video is persisted and returned","0"
"0","Video Catalog","0","Search videos","1","0","Blank query falls back to returning all active videos","0"
"0","Platform","0","Key resolution","1","0","allKeys contains every platform","0"
"0","Video Catalog","0","Filter by category","1","0","Delegates category filter to repository","0"
"0","Video Catalog","0","Get video by ID","1","0","Returns video when found and active","0"
"0","Video Catalog","0","Get all videos","1","0","Returns empty list when no active videos exist","0"
"0","Video Catalog","0","Get all videos","1","0","Returns only active videos from repository","0"
"0","Video Catalog","0","Delete video","1","0","Video is soft-deleted by setting active=false","0"
"0","Video Catalog","0","Delete video","1","0","Deleting non-existent video throws VideoNotFoundException","0"
"0","Pipeline Acceptance","0","Create run","1","0","New run is persisted with correct threshold and status","0"
"0","Pipeline Acceptance","0","Finalize run","1","0","Run is BLOCKED when pass rate is below threshold","0"
"0","Video Catalog","0","Search videos","1","0","Non-blank query is trimmed and forwarded to repository.search","0"
"0","Video Catalog","0","Get video by ID","1","0","Returns empty when video is soft-deleted","0"
"0","Platform","0","Category groupings","1","0","Each platform belongs to the correct category","0"
