"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 28 06:37:52 UTC 2026","Tue Apr 28 06:37:52 UTC 2026","93","","TestResults","","QoePlayerTests.RegressionTests","test_regression_sessionIdFirstPartIsIos","test_regression_sessionIdFirstPartIsIos",""
"passed","Tue Apr 28 06:37:52 UTC 2026","Tue Apr 28 06:37:52 UTC 2026","61","","TestResults","","QoePlayerTests.RegressionTests","test_regression_exactly1ErrorKeepsGood","test_regression_exactly1ErrorKeepsGood",""
"passed","Tue Apr 28 06:37:52 UTC 2026","Tue Apr 28 06:37:52 UTC 2026","74","","TestResults","","QoePlayerTests.RegressionTests","test_regression_exactly2SecondsBufferingIsGood","test_regression_exactly2SecondsBufferingIsGood",""
"passed","Tue Apr 28 06:37:52 UTC 2026","Tue Apr 28 06:37:52 UTC 2026","79","","TestResults","","QoePlayerTests.RegressionTests","test_regression_payloadRoundTrip","test_regression_payloadRoundTrip",""
"passed","Tue Apr 28 06:37:52 UTC 2026","Tue Apr 28 06:37:53 UTC 2026","577","","TestResults","","QoePlayerTests.RegressionTests","test_regression_duplicateBufferingStart_isIdempotent","test_regression_duplicateBufferingStart_isIdempotent",""
"passed","Tue Apr 28 06:37:52 UTC 2026","Tue Apr 28 06:37:52 UTC 2026","64","","TestResults","","QoePlayerTests.RegressionTests","test_regression_exactly5SecondsBufferingIsFair","test_regression_exactly5SecondsBufferingIsFair",""
"passed","Tue Apr 28 06:37:52 UTC 2026","Tue Apr 28 06:37:52 UTC 2026","61","","TestResults","","QoePlayerTests.RegressionTests","test_regression_exactly2ErrorsMakesFair","test_regression_exactly2ErrorsMakesFair",""
"passed","Tue Apr 28 06:37:52 UTC 2026","Tue Apr 28 06:37:52 UTC 2026","78","","TestResults","","QoePlayerTests.RegressionTests","test_regression_justBelow2SecondsIsExcellent","test_regression_justBelow2SecondsIsExcellent",""
"passed","Tue Apr 28 06:37:52 UTC 2026","Tue Apr 28 06:37:52 UTC 2026","74","","TestResults","","QoePlayerTests.RegressionTests","test_regression_exactly4ErrorsKeepsFair","test_regression_exactly4ErrorsKeepsFair",""
"passed","Tue Apr 28 06:37:52 UTC 2026","Tue Apr 28 06:37:52 UTC 2026","98","","TestResults","","QoePlayerTests.RegressionTests","test_regression_findVideoIsCaseSensitive","test_regression_findVideoIsCaseSensitive",""
"passed","Tue Apr 28 06:37:52 UTC 2026","Tue Apr 28 06:37:53 UTC 2026","577","","TestResults","","QoePlayerTests.RegressionTests","test_regression_bufferingEndWithoutStartLeavesTimeAtZero","test_regression_bufferingEndWithoutStartLeavesTimeAtZero",""
"passed","Tue Apr 28 06:37:52 UTC 2026","Tue Apr 28 06:37:53 UTC 2026","577","","TestResults","","QoePlayerTests.RegressionTests","test_regression_catalogVideosHaveUniqueIds","test_regression_catalogVideosHaveUniqueIds",""
"passed","Tue Apr 28 06:37:52 UTC 2026","Tue Apr 28 06:37:52 UTC 2026","61","","TestResults","","QoePlayerTests.RegressionTests","test_regression_exactly10SecondsBufferingIsPoor","test_regression_exactly10SecondsBufferingIsPoor",""
"passed","Tue Apr 28 06:37:52 UTC 2026","Tue Apr 28 06:37:52 UTC 2026","65","","TestResults","","QoePlayerTests.RegressionTests","test_regression_justBelow10SecondsIsFair","test_regression_justBelow10SecondsIsFair",""
"passed","Tue Apr 28 06:37:52 UTC 2026","Tue Apr 28 06:37:52 UTC 2026","94","","TestResults","","QoePlayerTests.RegressionTests","test_regression_sessionIdHasDashSeparatedParts","test_regression_sessionIdHasDashSeparatedParts",""
"passed","Tue Apr 28 06:37:52 UTC 2026","Tue Apr 28 06:37:52 UTC 2026","66","","TestResults","","QoePlayerTests.RegressionTests","test_regression_firstBitrateObservationIsNotSwitch","test_regression_firstBitrateObservationIsNotSwitch",""
"passed","Tue Apr 28 06:37:52 UTC 2026","Tue Apr 28 06:37:52 UTC 2026","79","","TestResults","","QoePlayerTests.RegressionTests","test_regression_justBelow5SecondsIsGood","test_regression_justBelow5SecondsIsGood",""
"passed","Tue Apr 28 06:37:52 UTC 2026","Tue Apr 28 06:37:52 UTC 2026","74","","TestResults","","QoePlayerTests.RegressionTests","test_regression_exactly5ErrorsMakesPoor","test_regression_exactly5ErrorsMakesPoor",""
"passed","Tue Apr 28 06:37:52 UTC 2026","Tue Apr 28 06:37:52 UTC 2026","64","","TestResults","","QoePlayerTests.RegressionTests","test_regression_findVideoWithEmptyString_returnsNil","test_regression_findVideoWithEmptyString_returnsNil",""
"passed","Tue Apr 28 06:37:52 UTC 2026","Tue Apr 28 06:37:52 UTC 2026","91","","TestResults","","QoePlayerTests.RegressionTests","test_regression_sessionIdSecondPartIsNumeric","test_regression_sessionIdSecondPartIsNumeric",""
