"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 28 06:33:01 UTC 2026","Tue Apr 28 06:33:01 UTC 2026","52","","TestResults","","QoePlayerTests.RegressionTests","test_regression_firstBitrateObservationIsNotSwitch","test_regression_firstBitrateObservationIsNotSwitch",""
"passed","Tue Apr 28 06:33:01 UTC 2026","Tue Apr 28 06:33:01 UTC 2026","58","","TestResults","","QoePlayerTests.SmokeTests","test_smoke_qualityDropsWithErrors","test_smoke_qualityDropsWithErrors",""
"passed","Tue Apr 28 06:33:01 UTC 2026","Tue Apr 28 06:33:01 UTC 2026","53","","TestResults","","QoePlayerTests.QoEQualityCalculatorTests","test_excellent_oneSecondBufferingNoErrors","test_excellent_oneSecondBufferingNoErrors",""
"passed","Tue Apr 28 06:33:01 UTC 2026","Tue Apr 28 06:33:01 UTC 2026","45","","TestResults","","QoePlayerTests.VideoCatalogTests","test_catalogVideoIdsAreUnique","test_catalogVideoIdsAreUnique",""
"passed","Tue Apr 28 06:33:01 UTC 2026","Tue Apr 28 06:33:01 UTC 2026","39","","TestResults","","QoePlayerTests.VideoCatalogTests","test_findVideo_returnsNilForUnknownId","test_findVideo_returnsNilForUnknownId",""
"passed","Tue Apr 28 06:33:01 UTC 2026","Tue Apr 28 06:33:01 UTC 2026","58","","TestResults","","QoePlayerTests.BATTests","test_bat_catalogIsNotEmpty","test_bat_catalogIsNotEmpty",""
"passed","Tue Apr 28 06:33:01 UTC 2026","Tue Apr 28 06:33:01 UTC 2026","48","","TestResults","","QoePlayerTests.QoECollectorTests","test_recordError_storesCorrectMessage","test_recordError_storesCorrectMessage",""
"passed","Tue Apr 28 06:33:01 UTC 2026","Tue Apr 28 06:33:01 UTC 2026","38","","TestResults","","QoePlayerTests.VideoCatalogTests","test_allVideosHaveNonBlankHLSUrls","test_allVideosHaveNonBlankHLSUrls",""
"passed","Tue Apr 28 06:33:01 UTC 2026","Tue Apr 28 06:33:01 UTC 2026","38","","TestResults","","QoePlayerTests.VideoCatalogTests","test_allVideosHaveNonBlankIds","test_allVideosHaveNonBlankIds",""
"passed","Tue Apr 28 06:33:01 UTC 2026","Tue Apr 28 06:33:01 UTC 2026","53","","TestResults","","QoePlayerTests.QoECollectorTests","test_recordError_incrementsErrorCount","test_recordError_incrementsErrorCount",""
"passed","Tue Apr 28 06:33:01 UTC 2026","Tue Apr 28 06:33:01 UTC 2026","54","","TestResults","","QoePlayerTests.QoEQualityCalculatorTests","test_fiveErrorsMakesPoorRegardlessOfBuffering","test_fiveErrorsMakesPoorRegardlessOfBuffering",""
