"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 28 03:01:28 UTC 2026","Tue Apr 28 03:01:28 UTC 2026","1","","com.devopsdays.qoe.player.services.QoECollectorTest","","com.devopsdays.qoe.player.services.QoECollectorTest","initial bitrate switches count is zero","initial bitrate switches count is zero",""
"passed","Tue Apr 28 03:01:28 UTC 2026","Tue Apr 28 03:01:28 UTC 2026","17","","com.devopsdays.qoe.player.QoEMetricPayloadTest","","com.devopsdays.qoe.player.QoEMetricPayloadTest","payload stores videoId correctly","payload stores videoId correctly",""
"passed","Tue Apr 28 03:01:28 UTC 2026","Tue Apr 28 03:01:30 UTC 2026","2214","","com.devopsdays.qoe.player.services.QoECollectorTest","","com.devopsdays.qoe.player.services.QoECollectorTest","recording one error increments error count","recording one error increments error count",""
"passed","Tue Apr 28 03:01:28 UTC 2026","Tue Apr 28 03:01:28 UTC 2026","0","","com.devopsdays.qoe.player.utils.QoEQualityCalculatorTest","","com.devopsdays.qoe.player.utils.QoEQualityCalculatorTest","negative buffering time treated as excellent","negative buffering time treated as excellent",""
"passed","Tue Apr 28 03:01:28 UTC 2026","Tue Apr 28 03:01:28 UTC 2026","1","","com.devopsdays.qoe.player.QoEMetricPayloadTest","","com.devopsdays.qoe.player.QoEMetricPayloadTest","payload stores platform correctly","payload stores platform correctly",""
"passed","Tue Apr 28 03:01:28 UTC 2026","Tue Apr 28 03:01:28 UTC 2026","0","","com.devopsdays.qoe.player.utils.QoEQualityCalculatorTest","","com.devopsdays.qoe.player.utils.QoEQualityCalculatorTest","returns good just below 5 second threshold","returns good just below 5 second threshold",""
"passed","Tue Apr 28 03:01:28 UTC 2026","Tue Apr 28 03:01:28 UTC 2026","2","","com.devopsdays.qoe.player.services.QoECollectorTest","","com.devopsdays.qoe.player.services.QoECollectorTest","first bitrate change does not increment switch counter","first bitrate change does not increment switch counter",""
"passed","Tue Apr 28 03:01:28 UTC 2026","Tue Apr 28 03:01:28 UTC 2026","0","","com.devopsdays.qoe.player.QoEMetricPayloadTest","","com.devopsdays.qoe.player.QoEMetricPayloadTest","payload stores metrics map correctly","payload stores metrics map correctly",""
"passed","Tue Apr 28 03:01:28 UTC 2026","Tue Apr 28 03:01:28 UTC 2026","202","","com.devopsdays.qoe.player.services.QoECollectorTest","","com.devopsdays.qoe.player.services.QoECollectorTest","duplicate recordBufferingStart calls do not reset start time","duplicate recordBufferingStart calls do not reset start time",""
"passed","Tue Apr 28 03:01:28 UTC 2026","Tue Apr 28 03:01:28 UTC 2026","2","","com.devopsdays.qoe.player.services.QoECollectorTest","","com.devopsdays.qoe.player.services.QoECollectorTest","stopCollecting can be called multiple times safely","stopCollecting can be called multiple times safely",""
"passed","Tue Apr 28 03:01:28 UTC 2026","Tue Apr 28 03:01:28 UTC 2026","0","","com.devopsdays.qoe.player.utils.QoEQualityCalculatorTest","","com.devopsdays.qoe.player.utils.QoEQualityCalculatorTest","returns excellent for zero buffering and no errors","returns excellent for zero buffering and no errors",""
"passed","Tue Apr 28 03:01:28 UTC 2026","Tue Apr 28 03:01:28 UTC 2026","15","","com.devopsdays.qoe.player.data.VideoCatalogTest","","com.devopsdays.qoe.player.data.VideoCatalogTest","catalog video ids are unique","catalog video ids are unique",""
"passed","Tue Apr 28 03:01:28 UTC 2026","Tue Apr 28 03:01:28 UTC 2026","2","","com.devopsdays.qoe.player.services.QoECollectorTest","","com.devopsdays.qoe.player.services.QoECollectorTest","initial error count is zero","initial error count is zero",""
"passed","Tue Apr 28 03:01:28 UTC 2026","Tue Apr 28 03:01:28 UTC 2026","0","","com.devopsdays.qoe.player.QoEMetricPayloadTest","","com.devopsdays.qoe.player.QoEMetricPayloadTest","data class equality works","data class equality works",""
"passed","Tue Apr 28 03:01:28 UTC 2026","Tue Apr 28 03:01:28 UTC 2026","202","","com.devopsdays.qoe.player.services.QoECollectorTest","","com.devopsdays.qoe.player.services.QoECollectorTest","multiple buffering cycles accumulate time","multiple buffering cycles accumulate time",""
"passed","Tue Apr 28 03:01:28 UTC 2026","Tue Apr 28 03:01:28 UTC 2026","1","","com.devopsdays.qoe.player.data.VideoCatalogTest","","com.devopsdays.qoe.player.data.VideoCatalogTest","all HLS URLs start with https","all HLS URLs start with https",""
"passed","Tue Apr 28 03:01:28 UTC 2026","Tue Apr 28 03:01:28 UTC 2026","0","","com.devopsdays.qoe.player.data.VideoCatalogTest","","com.devopsdays.qoe.player.data.VideoCatalogTest","StreamVideo data class copy works","StreamVideo data class copy works",""
"passed","Tue Apr 28 03:01:28 UTC 2026","Tue Apr 28 03:01:28 UTC 2026","2","","com.devopsdays.qoe.player.services.QoECollectorTest","","com.devopsdays.qoe.player.services.QoECollectorTest","multiple distinct bitrate changes are counted individually","multiple distinct bitrate changes are counted individually",""
"passed","Tue Apr 28 03:01:28 UTC 2026","Tue Apr 28 03:01:28 UTC 2026","0","","com.devopsdays.qoe.player.utils.QoEQualityCalculatorTest","","com.devopsdays.qoe.player.utils.QoEQualityCalculatorTest","returns good for 3 seconds buffering with 1 error","returns good for 3 seconds buffering with 1 error",""
"passed","Tue Apr 28 03:01:28 UTC 2026","Tue Apr 28 03:01:28 UTC 2026","1","","com.devopsdays.qoe.player.services.QoECollectorTest","","com.devopsdays.qoe.player.services.QoECollectorTest","each collector gets a unique session id","each collector gets a unique session id",""
"passed","Tue Apr 28 03:01:28 UTC 2026","Tue Apr 28 03:01:28 UTC 2026","1","","com.devopsdays.qoe.player.utils.QoEQualityCalculatorTest","","com.devopsdays.qoe.player.utils.QoEQualityCalculatorTest","returns fair for 7 seconds buffering with 3 errors","returns fair for 7 seconds buffering with 3 errors",""
"passed","Tue Apr 28 03:01:28 UTC 2026","Tue Apr 28 03:01:28 UTC 2026","2","","com.devopsdays.qoe.player.data.VideoCatalogTest","","com.devopsdays.qoe.player.data.VideoCatalogTest","findVideo returns correct video for each catalog entry","findVideo returns correct video for each catalog entry",""
"passed","Tue Apr 28 03:01:28 UTC 2026","Tue Apr 28 03:01:28 UTC 2026","0","","com.devopsdays.qoe.player.utils.QoEQualityCalculatorTest","","com.devopsdays.qoe.player.utils.QoEQualityCalculatorTest","returns excellent for 1 second buffering and no errors","returns excellent for 1 second buffering and no errors",""
