"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","238","[Smoke] Ingest + query metric for each platform metrics ingest + query for platform IPAD","","2026-04-27","passed","2026-04-27","","com.devopsdays.qoe.api.e2e.QoEApiE2EIT","com.devopsdays.qoe.api.e2e.QoEApiE2EIT","ingestAndQueryMetricForEachPlatform"
"","70","[Smoke] Ingest + query metric for each platform metrics ingest + query for platform DESKTOP_LINUX","","2026-04-27","passed","2026-04-27","","com.devopsdays.qoe.api.e2e.QoEApiE2EIT","com.devopsdays.qoe.api.e2e.QoEApiE2EIT","ingestAndQueryMetricForEachPlatform"
"","85","[Smoke] Ingest + query metric for each platform metrics ingest + query for platform ROKU","","2026-04-27","passed","2026-04-27","","com.devopsdays.qoe.api.e2e.QoEApiE2EIT","com.devopsdays.qoe.api.e2e.QoEApiE2EIT","ingestAndQueryMetricForEachPlatform"
"","128","[Smoke] Ingest + query metric for each platform metrics ingest + query for platform ANDROID_PHONE","","2026-04-27","passed","2026-04-27","","com.devopsdays.qoe.api.e2e.QoEApiE2EIT","com.devopsdays.qoe.api.e2e.QoEApiE2EIT","ingestAndQueryMetricForEachPlatform"
"","237","[Smoke] Ingest + query metric for each platform metrics ingest + query for platform WEB","","2026-04-27","passed","2026-04-27","","com.devopsdays.qoe.api.e2e.QoEApiE2EIT","com.devopsdays.qoe.api.e2e.QoEApiE2EIT","ingestAndQueryMetricForEachPlatform"
"","94","[Smoke] Ingest + query metric for each platform metrics ingest + query for platform CHROMECAST","","2026-04-27","passed","2026-04-27","","com.devopsdays.qoe.api.e2e.QoEApiE2EIT","com.devopsdays.qoe.api.e2e.QoEApiE2EIT","ingestAndQueryMetricForEachPlatform"
"","87","[Smoke] Ingest + query metric for each platform metrics ingest + query for platform ANDROID_TV","","2026-04-27","passed","2026-04-27","","com.devopsdays.qoe.api.e2e.QoEApiE2EIT","com.devopsdays.qoe.api.e2e.QoEApiE2EIT","ingestAndQueryMetricForEachPlatform"
"","3757","[Smoke] Ingesting metric for unknown platform returns 400","","2026-04-27","passed","2026-04-27","","com.devopsdays.qoe.api.e2e.QoEApiE2EIT","com.devopsdays.qoe.api.e2e.QoEApiE2EIT","ingestMetricUnknownPlatformReturns400"
"","61","[Smoke] Ingest + query metric for each platform metrics ingest + query for platform AUTOMATION","","2026-04-27","passed","2026-04-27","","com.devopsdays.qoe.api.e2e.QoEApiE2EIT","com.devopsdays.qoe.api.e2e.QoEApiE2EIT","ingestAndQueryMetricForEachPlatform"
"","116","[Smoke] Ingest + query metric for each platform metrics ingest + query for platform IPHONE","","2026-04-27","passed","2026-04-27","","com.devopsdays.qoe.api.e2e.QoEApiE2EIT","com.devopsdays.qoe.api.e2e.QoEApiE2EIT","ingestAndQueryMetricForEachPlatform"
"","148","[Smoke] PUT /videos/{id} updates title, category and genre","","2026-04-27","passed","2026-04-27","","Video Catalog API — E2E","com.devopsdays.qoe.api.e2e.VideoApiE2EIT","updateVideo_success"
"","172","[Smoke] POST /videos with duplicate videoId returns 400","","2026-04-27","passed","2026-04-27","","Video Catalog API — E2E","com.devopsdays.qoe.api.e2e.VideoApiE2EIT","createVideo_duplicateId_returns400"
"","65","[Smoke] Ingest + query metric for each platform metrics ingest + query for platform API","","2026-04-27","passed","2026-04-27","","com.devopsdays.qoe.api.e2e.QoEApiE2EIT","com.devopsdays.qoe.api.e2e.QoEApiE2EIT","ingestAndQueryMetricForEachPlatform"
"","168","[Smoke] GET /videos/search?q=bunny returns results containing 'bunny'","","2026-04-27","passed","2026-04-27","","Video Catalog API — E2E","com.devopsdays.qoe.api.e2e.VideoApiE2EIT","searchVideos_byTitleKeyword"
