"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","12","fromKey resolves every platform back to itself fromKey(API) round-trips","","2026-04-27","passed","2026-04-27","","Platform","com.devopsdays.qoe.api.unit.platform.PlatformTest","fromKeyRoundTrips"
"","23","fromKey throws for unknown / blank keys unknown key 'windows_phone' throws","","2026-04-27","passed","2026-04-27","","Platform","com.devopsdays.qoe.api.unit.platform.PlatformTest","fromKeyThrowsOnUnknown"
"","1546","throws VideoNotFoundException when video does not exist","","2026-04-27","passed","2026-04-27","","updateVideo","com.devopsdays.qoe.api.unit.video.VideoServiceTest$UpdateVideo","throwsWhenNotFound"
"","30","returns video when found and active","","2026-04-27","passed","2026-04-27","","getVideoById","com.devopsdays.qoe.api.unit.video.VideoServiceTest$GetVideoById","returnsVideoWhenFoundAndActive"
"","10","fromKey resolves every platform back to itself fromKey(DESKTOP_WINDOWS) round-trips","","2026-04-27","passed","2026-04-27","","Platform","com.devopsdays.qoe.api.unit.platform.PlatformTest","fromKeyRoundTrips"
"","13","fromKey resolves every platform back to itself fromKey(IPHONE) round-trips","","2026-04-27","passed","2026-04-27","","Platform","com.devopsdays.qoe.api.unit.platform.PlatformTest","fromKeyRoundTrips"
"","31","returns all active videos when query is blank","","2026-04-27","passed","2026-04-27","","searchVideos","com.devopsdays.qoe.api.unit.video.VideoServiceTest$SearchVideos","returnsAllWhenBlankQuery"
"","7","recordPlatform accepts all known platform keys recordPlatform accepts api","","2026-04-27","passed","2026-04-27","","PipelineAcceptanceService","com.devopsdays.qoe.api.unit.pipeline.PipelineAcceptanceServiceTest","recordPlatformAcceptsAllKnownPlatforms"
"","2122","recordPlatform throws IllegalArgumentException for unknown key 'tvos'","","2026-04-27","passed","2026-04-27","","PipelineAcceptanceService","com.devopsdays.qoe.api.unit.pipeline.PipelineAcceptanceServiceTest","recordPlatformRejectsUnknownName"
"","16","fromKey throws for unknown / blank keys unknown key '' throws","","2026-04-27","passed","2026-04-27","","Platform","com.devopsdays.qoe.api.unit.platform.PlatformTest","fromKeyThrowsOnUnknown"
"","32","recordPlatform accepts all known platform keys recordPlatform accepts appletv","","2026-04-27","passed","2026-04-27","","PipelineAcceptanceService","com.devopsdays.qoe.api.unit.pipeline.PipelineAcceptanceServiceTest","recordPlatformAcceptsAllKnownPlatforms"
"","2126","finalizeRun → RELEASED when pass rate ≥ 0.8 (17/20 = 0.85)","","2026-04-27","passed","2026-04-27","","PipelineAcceptanceService","com.devopsdays.qoe.api.unit.pipeline.PipelineAcceptanceServiceTest","finalizeReleasedWhenPassRateMeetsThreshold"
"","121","tryFromKey returns empty for unknown, null and blank inputs","","2026-04-27","passed","2026-04-27","","Platform","com.devopsdays.qoe.api.unit.platform.PlatformTest","tryFromKeyReturnsEmptyForUnknown"
"","36","fromKey(null) throws IllegalArgumentException","","2026-04-27","passed","2026-04-27","","Platform","com.devopsdays.qoe.api.unit.platform.PlatformTest","fromKeyThrowsOnNull"
"","119","categoryGroupingsAreCorrect()","","2026-04-27","passed","2026-04-27","","Platform","com.devopsdays.qoe.api.unit.platform.PlatformTest","categoryGroupingsAreCorrect"
"","17","recordPlatform accepts all known platform keys recordPlatform accepts desktop_macos","","2026-04-27","passed","2026-04-27","","PipelineAcceptanceService","com.devopsdays.qoe.api.unit.pipeline.PipelineAcceptanceServiceTest","recordPlatformAcceptsAllKnownPlatforms"
"","24","delegates trimmed query to repository.search","","2026-04-27","passed","2026-04-27","","searchVideos","com.devopsdays.qoe.api.unit.video.VideoServiceTest$SearchVideos","delegatesToRepository"
"","2127","recordPlatform accepts all known platform keys recordPlatform accepts iphone","","2026-04-27","passed","2026-04-27","","PipelineAcceptanceService","com.devopsdays.qoe.api.unit.pipeline.PipelineAcceptanceServiceTest","recordPlatformAcceptsAllKnownPlatforms"
"","23","recordPlatform accepts all known platform keys recordPlatform accepts androidtablet","","2026-04-27","passed","2026-04-27","","PipelineAcceptanceService","com.devopsdays.qoe.api.unit.pipeline.PipelineAcceptanceServiceTest","recordPlatformAcceptsAllKnownPlatforms"
"","1","fromKey resolves every platform back to itself fromKey(ROKU) round-trips","","2026-04-27","passed","2026-04-27","","Platform","com.devopsdays.qoe.api.unit.platform.PlatformTest","fromKeyRoundTrips"
"","22","fromKey is case-insensitive fromKey upper/mixed case 'Web'","","2026-04-27","passed","2026-04-27","","Platform","com.devopsdays.qoe.api.unit.platform.PlatformTest","fromKeyIsCaseInsensitive"
"","1565","updates all mutable fields and returns saved entity","","2026-04-27","passed","2026-04-27","","updateVideo","com.devopsdays.qoe.api.unit.video.VideoServiceTest$UpdateVideo","updatesAllFields"
"","14","fromKey resolves every platform back to itself fromKey(IPAD) round-trips","","2026-04-27","passed","2026-04-27","","Platform","com.devopsdays.qoe.api.unit.platform.PlatformTest","fromKeyRoundTrips"
"","2126","createRun persists gate threshold = 0.8 and status = PENDING","","2026-04-27","passed","2026-04-27","","PipelineAcceptanceService","com.devopsdays.qoe.api.unit.pipeline.PipelineAcceptanceServiceTest","createRunPersistsThreshold"
"","15","fromKey resolves every platform back to itself fromKey(DESKTOP_MACOS) round-trips","","2026-04-27","passed","2026-04-27","","Platform","com.devopsdays.qoe.api.unit.platform.PlatformTest","fromKeyRoundTrips"
"","2131","finalizeRun → BLOCKED when pass rate < 0.8 (5/10 = 0.50)","","2026-04-27","passed","2026-04-27","","PipelineAcceptanceService","com.devopsdays.qoe.api.unit.pipeline.PipelineAcceptanceServiceTest","finalizeBlockedBelowThreshold"
"","15","recordPlatform accepts all known platform keys recordPlatform accepts automation","","2026-04-27","passed","2026-04-27","","PipelineAcceptanceService","com.devopsdays.qoe.api.unit.pipeline.PipelineAcceptanceServiceTest","recordPlatformAcceptsAllKnownPlatforms"
"","15","fromKey resolves every platform back to itself fromKey(PLAYSTATION) round-trips","","2026-04-27","passed","2026-04-27","","Platform","com.devopsdays.qoe.api.unit.platform.PlatformTest","fromKeyRoundTrips"
"","21","fromKey is case-insensitive fromKey upper/mixed case 'Androidphone'","","2026-04-27","passed","2026-04-27","","Platform","com.devopsdays.qoe.api.unit.platform.PlatformTest","fromKeyIsCaseInsensitive"
"","1547","persists a new video and returns the saved entity","","2026-04-27","passed","2026-04-27","","createVideo","com.devopsdays.qoe.api.unit.video.VideoServiceTest$CreateVideo","persistsVideo"
"","7","fromKey resolves every platform back to itself fromKey(AUTOMATION) round-trips","","2026-04-27","passed","2026-04-27","","Platform","com.devopsdays.qoe.api.unit.platform.PlatformTest","fromKeyRoundTrips"
"","1916","returns only active videos","","2026-04-27","passed","2026-04-27","","getAllVideos","com.devopsdays.qoe.api.unit.video.VideoServiceTest$GetAllVideos","returnsActiveVideos"
"","31","recordPlatform accepts all known platform keys recordPlatform accepts playstation","","2026-04-27","passed","2026-04-27","","PipelineAcceptanceService","com.devopsdays.qoe.api.unit.pipeline.PipelineAcceptanceServiceTest","recordPlatformAcceptsAllKnownPlatforms"
"","8","fromKey resolves every platform back to itself fromKey(ANDROID_TABLET) round-trips","","2026-04-27","passed","2026-04-27","","Platform","com.devopsdays.qoe.api.unit.platform.PlatformTest","fromKeyRoundTrips"
