"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Apr 27 17:17:17 UTC 2026","Mon Apr 27 17:17:21 UTC 2026","3705","","Video Catalog API — E2E","","com.devopsdays.qoe.api.e2e.VideoApiE2EIT","listVideos_filterByCategory","[Smoke] GET /videos?category=movie returns only movies",""
"passed","Mon Apr 27 17:17:23 UTC 2026","Mon Apr 27 17:17:23 UTC 2026","88","","com.devopsdays.qoe.api.e2e.QoEApiE2EIT","","com.devopsdays.qoe.api.e2e.QoEApiE2EIT","ingestAndQueryMetricForEachPlatform","[Smoke] Ingest + query metric for each platform metrics ingest + query for platform LG_TV",""
"passed","Mon Apr 27 17:17:21 UTC 2026","Mon Apr 27 17:17:22 UTC 2026","279","","Video Catalog API — E2E","","com.devopsdays.qoe.api.e2e.VideoApiE2EIT","updateVideo_success","[Smoke] PUT /videos/{id} updates title, category and genre",""
"passed","Mon Apr 27 17:17:17 UTC 2026","Mon Apr 27 17:17:20 UTC 2026","3700","","com.devopsdays.qoe.api.e2e.QoEApiE2EIT","","com.devopsdays.qoe.api.e2e.QoEApiE2EIT","ingestMetricUnknownPlatformReturns400","[Smoke] Ingesting metric for unknown platform returns 400",""
"passed","Mon Apr 27 17:17:23 UTC 2026","Mon Apr 27 17:17:23 UTC 2026","86","","com.devopsdays.qoe.api.e2e.QoEApiE2EIT","","com.devopsdays.qoe.api.e2e.QoEApiE2EIT","ingestAndQueryMetricForEachPlatform","[Smoke] Ingest + query metric for each platform metrics ingest + query for platform ANDROID_TV",""
"passed","Mon Apr 27 17:17:23 UTC 2026","Mon Apr 27 17:17:23 UTC 2026","121","","com.devopsdays.qoe.api.e2e.QoEApiE2EIT","","com.devopsdays.qoe.api.e2e.QoEApiE2EIT","ingestAndQueryMetricForEachPlatform","[Smoke] Ingest + query metric for each platform metrics ingest + query for platform IPAD",""
"passed","Mon Apr 27 17:17:23 UTC 2026","Mon Apr 27 17:17:23 UTC 2026","100","","com.devopsdays.qoe.api.e2e.QoEApiE2EIT","","com.devopsdays.qoe.api.e2e.QoEApiE2EIT","ingestAndQueryMetricForEachPlatform","[Smoke] Ingest + query metric for each platform metrics ingest + query for platform ANDROID_TABLET",""
"passed","Mon Apr 27 17:17:21 UTC 2026","Mon Apr 27 17:17:21 UTC 2026","269","","Video Catalog API — E2E","","com.devopsdays.qoe.api.e2e.VideoApiE2EIT","getManifest_returnsUrls","[Smoke] GET /videos/{id}/manifest returns hls and dash URLs",""
"passed","Mon Apr 27 17:17:23 UTC 2026","Mon Apr 27 17:17:23 UTC 2026","100","","com.devopsdays.qoe.api.e2e.QoEApiE2EIT","","com.devopsdays.qoe.api.e2e.QoEApiE2EIT","ingestAndQueryMetricForEachPlatform","[Smoke] Ingest + query metric for each platform metrics ingest + query for platform ANDROID_PHONE",""
"passed","Mon Apr 27 17:17:24 UTC 2026","Mon Apr 27 17:17:24 UTC 2026","71","","com.devopsdays.qoe.api.e2e.QoEApiE2EIT","","com.devopsdays.qoe.api.e2e.QoEApiE2EIT","ingestAndQueryMetricForEachPlatform","[Smoke] Ingest + query metric for each platform metrics ingest + query for platform DESKTOP_WINDOWS",""
"passed","Mon Apr 27 17:17:24 UTC 2026","Mon Apr 27 17:17:24 UTC 2026","71","","com.devopsdays.qoe.api.e2e.QoEApiE2EIT","","com.devopsdays.qoe.api.e2e.QoEApiE2EIT","ingestAndQueryMetricForEachPlatform","[Smoke] Ingest + query metric for each platform metrics ingest + query for platform DESKTOP_MACOS",""
"passed","Mon Apr 27 17:17:24 UTC 2026","Mon Apr 27 17:17:24 UTC 2026","75","","com.devopsdays.qoe.api.e2e.QoEApiE2EIT","","com.devopsdays.qoe.api.e2e.QoEApiE2EIT","ingestAndQueryMetricForEachPlatform","[Smoke] Ingest + query metric for each platform metrics ingest + query for platform API",""
"passed","Mon Apr 27 17:17:23 UTC 2026","Mon Apr 27 17:17:24 UTC 2026","83","","com.devopsdays.qoe.api.e2e.QoEApiE2EIT","","com.devopsdays.qoe.api.e2e.QoEApiE2EIT","ingestAndQueryMetricForEachPlatform","[Smoke] Ingest + query metric for each platform metrics ingest + query for platform ROKU",""
"passed","Mon Apr 27 17:17:20 UTC 2026","Mon Apr 27 17:17:22 UTC 2026","1618","","com.devopsdays.qoe.api.e2e.QoEApiE2EIT","","com.devopsdays.qoe.api.e2e.QoEApiE2EIT","openApiDocsAvailable","[Smoke] OpenAPI docs endpoint is available",""
"passed","Mon Apr 27 17:17:23 UTC 2026","Mon Apr 27 17:17:23 UTC 2026","103","","com.devopsdays.qoe.api.e2e.QoEApiE2EIT","","com.devopsdays.qoe.api.e2e.QoEApiE2EIT","ingestAndQueryMetricForEachPlatform","[Smoke] Ingest + query metric for each platform metrics ingest + query for platform IPHONE",""
"passed","Mon Apr 27 17:17:22 UTC 2026","Mon Apr 27 17:17:22 UTC 2026","188","","Video Catalog API — E2E","","com.devopsdays.qoe.api.e2e.VideoApiE2EIT","deleteVideo_success","[Smoke] DELETE /videos/{id} soft-deletes the video",""
"passed","Mon Apr 27 17:17:23 UTC 2026","Mon Apr 27 17:17:23 UTC 2026","88","","com.devopsdays.qoe.api.e2e.QoEApiE2EIT","","com.devopsdays.qoe.api.e2e.QoEApiE2EIT","ingestAndQueryMetricForEachPlatform","[Smoke] Ingest + query metric for each platform metrics ingest + query for platform SAMSUNG_TV",""
"passed","Mon Apr 27 17:17:24 UTC 2026","Mon Apr 27 17:17:24 UTC 2026","85","","com.devopsdays.qoe.api.e2e.QoEApiE2EIT","","com.devopsdays.qoe.api.e2e.QoEApiE2EIT","ingestAndQueryMetricForEachPlatform","[Smoke] Ingest + query metric for each platform metrics ingest + query for platform CHROMECAST",""
"passed","Mon Apr 27 17:17:24 UTC 2026","Mon Apr 27 17:17:24 UTC 2026","83","","com.devopsdays.qoe.api.e2e.QoEApiE2EIT","","com.devopsdays.qoe.api.e2e.QoEApiE2EIT","ingestAndQueryMetricForEachPlatform","[Smoke] Ingest + query metric for each platform metrics ingest + query for platform XBOX",""
"passed","Mon Apr 27 17:17:21 UTC 2026","Mon Apr 27 17:17:21 UTC 2026","186","","Video Catalog API — E2E","","com.devopsdays.qoe.api.e2e.VideoApiE2EIT","searchVideos_byTitleKeyword","[Smoke] GET /videos/search?q=bunny returns results containing 'bunny'",""
"passed","Mon Apr 27 17:17:21 UTC 2026","Mon Apr 27 17:17:21 UTC 2026","174","","Video Catalog API — E2E","","com.devopsdays.qoe.api.e2e.VideoApiE2EIT","createVideo_duplicateId_returns400","[Smoke] POST /videos with duplicate videoId returns 400",""
"passed","Mon Apr 27 17:17:24 UTC 2026","Mon Apr 27 17:17:24 UTC 2026","76","","com.devopsdays.qoe.api.e2e.QoEApiE2EIT","","com.devopsdays.qoe.api.e2e.QoEApiE2EIT","ingestAndQueryMetricForEachPlatform","[Smoke] Ingest + query metric for each platform metrics ingest + query for platform PLAYSTATION",""
"passed","Mon Apr 27 17:17:23 UTC 2026","Mon Apr 27 17:17:23 UTC 2026","98","","com.devopsdays.qoe.api.e2e.QoEApiE2EIT","","com.devopsdays.qoe.api.e2e.QoEApiE2EIT","ingestAndQueryMetricForEachPlatform","[Smoke] Ingest + query metric for each platform metrics ingest + query for platform APPLE_TV",""
"passed","Mon Apr 27 17:17:22 UTC 2026","Mon Apr 27 17:17:23 UTC 2026","251","","com.devopsdays.qoe.api.e2e.QoEApiE2EIT","","com.devopsdays.qoe.api.e2e.QoEApiE2EIT","ingestAndQueryMetricForEachPlatform","[Smoke] Ingest + query metric for each platform metrics ingest + query for platform WEB",""
"passed","Mon Apr 27 17:17:24 UTC 2026","Mon Apr 27 17:17:24 UTC 2026","72","","com.devopsdays.qoe.api.e2e.QoEApiE2EIT","","com.devopsdays.qoe.api.e2e.QoEApiE2EIT","ingestAndQueryMetricForEachPlatform","[Smoke] Ingest + query metric for each platform metrics ingest + query for platform DESKTOP_LINUX",""
"passed","Mon Apr 27 17:17:24 UTC 2026","Mon Apr 27 17:17:24 UTC 2026","77","","com.devopsdays.qoe.api.e2e.QoEApiE2EIT","","com.devopsdays.qoe.api.e2e.QoEApiE2EIT","ingestAndQueryMetricForEachPlatform","[Smoke] Ingest + query metric for each platform metrics ingest + query for platform AUTOMATION",""
"passed","Mon Apr 27 17:17:22 UTC 2026","Mon Apr 27 17:17:22 UTC 2026","305","","com.devopsdays.qoe.api.e2e.QoEApiE2EIT","","com.devopsdays.qoe.api.e2e.QoEApiE2EIT","pipelinePlatformUnknownReturns400","[Smoke] Recording unknown platform in pipeline run returns 400",""
"passed","Mon Apr 27 17:17:23 UTC 2026","Mon Apr 27 17:17:23 UTC 2026","81","","com.devopsdays.qoe.api.e2e.QoEApiE2EIT","","com.devopsdays.qoe.api.e2e.QoEApiE2EIT","ingestAndQueryMetricForEachPlatform","[Smoke] Ingest + query metric for each platform metrics ingest + query for platform FIRE_TV",""
