"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Apr 27 18:33:28 UTC 2026","Mon Apr 27 18:33:28 UTC 2026","82","","Platform","","com.devopsdays.qoe.api.unit.platform.PlatformTest","allKeysHasEveryPlatform","allKeys() covers every Platform enum value",""
"passed","Mon Apr 27 18:33:28 UTC 2026","Mon Apr 27 18:33:30 UTC 2026","2056","","PipelineAcceptanceService","","com.devopsdays.qoe.api.unit.pipeline.PipelineAcceptanceServiceTest","recordPlatformAcceptsAllKnownPlatforms","recordPlatform accepts all known platform keys recordPlatform accepts roku",""
"passed","Mon Apr 27 18:33:30 UTC 2026","Mon Apr 27 18:33:30 UTC 2026","41","","PipelineAcceptanceService","","com.devopsdays.qoe.api.unit.pipeline.PipelineAcceptanceServiceTest","recordPlatformAcceptsAllKnownPlatforms","recordPlatform accepts all known platform keys recordPlatform accepts androidtablet",""
"passed","Mon Apr 27 18:33:28 UTC 2026","Mon Apr 27 18:33:28 UTC 2026","16","","Platform","","com.devopsdays.qoe.api.unit.platform.PlatformTest","fromKeyIsCaseInsensitive","fromKey is case-insensitive fromKey upper/mixed case 'IPHONE'",""
"passed","Mon Apr 27 18:33:30 UTC 2026","Mon Apr 27 18:33:30 UTC 2026","37","","PipelineAcceptanceService","","com.devopsdays.qoe.api.unit.pipeline.PipelineAcceptanceServiceTest","recordPlatformAcceptsAllKnownPlatforms","recordPlatform accepts all known platform keys recordPlatform accepts xbox",""
"passed","Mon Apr 27 18:33:28 UTC 2026","Mon Apr 27 18:33:28 UTC 2026","80","","Platform","","com.devopsdays.qoe.api.unit.platform.PlatformTest","tryFromKeyReturnsEmptyForUnknown","tryFromKey returns empty for unknown, null and blank inputs",""
"passed","Mon Apr 27 18:33:28 UTC 2026","Mon Apr 27 18:33:30 UTC 2026","1758","","createVideo","","com.devopsdays.qoe.api.unit.video.VideoServiceTest$CreateVideo","persistsVideo","persists a new video and returns the saved entity",""
"passed","Mon Apr 27 18:33:28 UTC 2026","Mon Apr 27 18:33:28 UTC 2026","2","","Platform","","com.devopsdays.qoe.api.unit.platform.PlatformTest","fromKeyRoundTrips","fromKey resolves every platform back to itself fromKey(DESKTOP_LINUX) round-trips",""
"passed","Mon Apr 27 18:33:28 UTC 2026","Mon Apr 27 18:33:30 UTC 2026","2057","","PipelineAcceptanceService","","com.devopsdays.qoe.api.unit.pipeline.PipelineAcceptanceServiceTest","finalizeBlockedBelowThreshold","finalizeRun → BLOCKED when pass rate < 0.8 (5/10 = 0.50)",""
"passed","Mon Apr 27 18:33:28 UTC 2026","Mon Apr 27 18:33:30 UTC 2026","1969","","PipelineAcceptanceService","","com.devopsdays.qoe.api.unit.pipeline.PipelineAcceptanceServiceTest","recordPlatformAcceptsAllKnownPlatforms","recordPlatform accepts all known platform keys recordPlatform accepts androidphone",""
