"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 29 02:13:58 UTC 2026","Wed Apr 29 02:13:58 UTC 2026","13","","Platform","","com.devopsdays.qoe.api.unit.platform.PlatformTest","fromKeyIsCaseInsensitive","fromKey is case-insensitive fromKey upper/mixed case 'IPHONE'",""
"passed","Wed Apr 29 02:13:58 UTC 2026","Wed Apr 29 02:13:58 UTC 2026","8","","Platform","","com.devopsdays.qoe.api.unit.platform.PlatformTest","fromKeyRoundTrips","fromKey resolves every platform back to itself fromKey(ROKU) round-trips",""
"passed","Wed Apr 29 02:13:58 UTC 2026","Wed Apr 29 02:13:58 UTC 2026","3","","Platform","","com.devopsdays.qoe.api.unit.platform.PlatformTest","fromKeyRoundTrips","fromKey resolves every platform back to itself fromKey(XBOX) round-trips",""
"passed","Wed Apr 29 02:13:58 UTC 2026","Wed Apr 29 02:13:58 UTC 2026","2","","Platform","","com.devopsdays.qoe.api.unit.platform.PlatformTest","fromKeyRoundTrips","fromKey resolves every platform back to itself fromKey(DESKTOP_WINDOWS) round-trips",""
"passed","Wed Apr 29 02:13:57 UTC 2026","Wed Apr 29 02:13:58 UTC 2026","110","","Platform","","com.devopsdays.qoe.api.unit.platform.PlatformTest","categoryGroupingsAreCorrect","categoryGroupingsAreCorrect()",""
"passed","Wed Apr 29 02:13:58 UTC 2026","Wed Apr 29 02:13:58 UTC 2026","12","","Platform","","com.devopsdays.qoe.api.unit.platform.PlatformTest","fromKeyRoundTrips","fromKey resolves every platform back to itself fromKey(APPLE_TV) round-trips",""
"passed","Wed Apr 29 02:13:57 UTC 2026","Wed Apr 29 02:13:58 UTC 2026","114","","Platform","","com.devopsdays.qoe.api.unit.platform.PlatformTest","fromKeyThrowsOnUnknown","fromKey throws for unknown / blank keys unknown key '  ' throws",""
"passed","Wed Apr 29 02:14:00 UTC 2026","Wed Apr 29 02:14:00 UTC 2026","12","","PipelineAcceptanceService","","com.devopsdays.qoe.api.unit.pipeline.PipelineAcceptanceServiceTest","recordPlatformAcceptsAllKnownPlatforms","recordPlatform accepts all known platform keys recordPlatform accepts roku",""
"passed","Wed Apr 29 02:13:57 UTC 2026","Wed Apr 29 02:13:58 UTC 2026","114","","Platform","","com.devopsdays.qoe.api.unit.platform.PlatformTest","fromKeyThrowsOnNull","fromKey(null) throws IllegalArgumentException",""
"passed","Wed Apr 29 02:13:58 UTC 2026","Wed Apr 29 02:13:59 UTC 2026","1512","","getAllVideos","","com.devopsdays.qoe.api.unit.video.VideoServiceTest$GetAllVideos","returnsEmptyList","returns empty list when repository is empty",""
"passed","Wed Apr 29 02:13:58 UTC 2026","Wed Apr 29 02:13:58 UTC 2026","7","","Platform","","com.devopsdays.qoe.api.unit.platform.PlatformTest","fromKeyIsCaseInsensitive","fromKey is case-insensitive fromKey upper/mixed case 'Web'",""
"passed","Wed Apr 29 02:13:57 UTC 2026","Wed Apr 29 02:13:59 UTC 2026","2016","","PipelineAcceptanceService","","com.devopsdays.qoe.api.unit.pipeline.PipelineAcceptanceServiceTest","recordPlatformAcceptsAllKnownPlatforms","recordPlatform accepts all known platform keys recordPlatform accepts androidphone",""
"passed","Wed Apr 29 02:13:58 UTC 2026","Wed Apr 29 02:13:58 UTC 2026","1","","Platform","","com.devopsdays.qoe.api.unit.platform.PlatformTest","fromKeyRoundTrips","fromKey resolves every platform back to itself fromKey(WEB) round-trips",""
"passed","Wed Apr 29 02:13:57 UTC 2026","Wed Apr 29 02:13:59 UTC 2026","2105","","PipelineAcceptanceService","","com.devopsdays.qoe.api.unit.pipeline.PipelineAcceptanceServiceTest","createRunPersistsThreshold","createRun persists gate threshold = 0.8 and status = PENDING",""
"passed","Wed Apr 29 02:13:58 UTC 2026","Wed Apr 29 02:13:58 UTC 2026","4","","Platform","","com.devopsdays.qoe.api.unit.platform.PlatformTest","fromKeyRoundTrips","fromKey resolves every platform back to itself fromKey(DESKTOP_MACOS) round-trips",""
"passed","Wed Apr 29 02:13:59 UTC 2026","Wed Apr 29 02:13:59 UTC 2026","21","","searchVideos","","com.devopsdays.qoe.api.unit.video.VideoServiceTest$SearchVideos","returnsAllWhenBlankQuery","returns all active videos when query is blank",""
"passed","Wed Apr 29 02:13:57 UTC 2026","Wed Apr 29 02:13:58 UTC 2026","116","","Platform","","com.devopsdays.qoe.api.unit.platform.PlatformTest","tryFromKeyReturnsEmptyForUnknown","tryFromKey returns empty for unknown, null and blank inputs",""
