# Network & Console Timeline
# Generated: 2026-04-28T03:09:25.187Z
# Columns: [+offset_ms]  category        method  status  duration  url

+     52ms  other           GET     200      42ms  https://devopsdays-119f5.web.app/   
+     74ms  app-asset       GET     200       4ms  https://devopsdays-119f5.web.app/assets/index-BQ-6yWm3.css   
+    157ms  app-asset       GET     200      87ms  https://devopsdays-119f5.web.app/assets/index-BfDhOn_j.js   
+   1014ms  hls-manifest    GET     200      40ms  https://test-streams.mux.dev/x36xhzz/x36xhzz.m3u8   
+   1082ms  hls-manifest    GET     200      68ms  https://test-streams.mux.dev/x36xhzz/url_0/193039199_mp4_h264_aac_hd_7.m3u8   
+   1202ms  hls-segment     GET     200      45ms  https://test-streams.mux.dev/x36xhzz/url_0/url_462/193039199_mp4_h264_aac_hd_7.ts   
+   1460ms  hls-manifest    GET     200      27ms  https://test-streams.mux.dev/x36xhzz/url_8/193039199_mp4_h264_aac_fhd_7.m3u8   
+   1497ms  hls-segment     GET     200      37ms  https://test-streams.mux.dev/x36xhzz/url_8/url_591/193039199_mp4_h264_aac_fhd_7.ts   
+   1513ms  hls-segment     GET     ERR      10ms  https://test-streams.mux.dev/x36xhzz/url_8/url_591/193039199_mp4_h264_aac_fhd_7.ts ❌
              └─ net::ERR_ABORTED
+   1531ms  hls-manifest    GET     200      29ms  https://test-streams.mux.dev/x36xhzz/url_2/193039199_mp4_h264_aac_ld_7.m3u8   
+   1569ms  hls-segment     GET     200      35ms  https://test-streams.mux.dev/x36xhzz/url_2/url_526/193039199_mp4_h264_aac_ld_7.ts   
+   1647ms  hls-segment     GET     200      33ms  https://test-streams.mux.dev/x36xhzz/url_2/url_527/193039199_mp4_h264_aac_ld_7.ts   
+   1722ms  hls-segment     GET     200      37ms  https://test-streams.mux.dev/x36xhzz/url_2/url_528/193039199_mp4_h264_aac_ld_7.ts   
+   1805ms  hls-segment     GET     200      52ms  https://test-streams.mux.dev/x36xhzz/url_2/url_529/193039199_mp4_h264_aac_ld_7.ts   
+   1957ms  hls-segment     GET     200     115ms  https://test-streams.mux.dev/x36xhzz/url_2/url_530/193039199_mp4_h264_aac_ld_7.ts   
+   2027ms  hls-segment     GET     200      39ms  https://test-streams.mux.dev/x36xhzz/url_2/url_531/193039199_mp4_h264_aac_ld_7.ts   
+   2090ms  hls-segment     GET     200      35ms  https://test-streams.mux.dev/x36xhzz/url_2/url_532/193039199_mp4_h264_aac_ld_7.ts   
+   2152ms  hls-segment     GET     200      39ms  https://test-streams.mux.dev/x36xhzz/url_2/url_533/193039199_mp4_h264_aac_ld_7.ts   
+   2314ms  hls-segment     GET     200     124ms  https://test-streams.mux.dev/x36xhzz/url_2/url_534/193039199_mp4_h264_aac_ld_7.ts   
+   2376ms  hls-segment     GET     200      40ms  https://test-streams.mux.dev/x36xhzz/url_2/url_535/193039199_mp4_h264_aac_ld_7.ts   
+   2440ms  hls-segment     GET     200      36ms  https://test-streams.mux.dev/x36xhzz/url_2/url_536/193039199_mp4_h264_aac_ld_7.ts   
+   2602ms  hls-segment     GET     200     133ms  https://test-streams.mux.dev/x36xhzz/url_2/url_537/193039199_mp4_h264_aac_ld_7.ts   
+   2647ms  hls-segment     GET     200      30ms  https://test-streams.mux.dev/x36xhzz/url_2/url_538/193039199_mp4_h264_aac_ld_7.ts   
+   2710ms  hls-segment     GET     200      52ms  https://test-streams.mux.dev/x36xhzz/url_2/url_539/193039199_mp4_h264_aac_ld_7.ts   
+   2749ms  hls-segment     GET     200      36ms  https://test-streams.mux.dev/x36xhzz/url_2/url_540/193039199_mp4_h264_aac_ld_7.ts   
+   2863ms  hls-segment     GET     200     110ms  https://test-streams.mux.dev/x36xhzz/url_2/url_541/193039199_mp4_h264_aac_ld_7.ts   
+   2904ms  hls-segment     GET     200      36ms  https://test-streams.mux.dev/x36xhzz/url_2/url_542/193039199_mp4_h264_aac_ld_7.ts   
+   2942ms  hls-segment     GET     200      34ms  https://test-streams.mux.dev/x36xhzz/url_2/url_543/193039199_mp4_h264_aac_ld_7.ts   
+   2991ms  hls-segment     GET     200      45ms  https://test-streams.mux.dev/x36xhzz/url_2/url_544/193039199_mp4_h264_aac_ld_7.ts   
+   3036ms  hls-segment     GET     200      39ms  https://test-streams.mux.dev/x36xhzz/url_2/url_545/193039199_mp4_h264_aac_ld_7.ts   
+   3075ms  hls-segment     GET     200      34ms  https://test-streams.mux.dev/x36xhzz/url_2/url_546/193039199_mp4_h264_aac_ld_7.ts   
+   3178ms  hls-segment     GET     200      99ms  https://test-streams.mux.dev/x36xhzz/url_2/url_547/193039199_mp4_h264_aac_ld_7.ts   
+   3223ms  hls-segment     GET     200      36ms  https://test-streams.mux.dev/x36xhzz/url_2/url_548/193039199_mp4_h264_aac_ld_7.ts   
+   3259ms  hls-segment     GET     200      31ms  https://test-streams.mux.dev/x36xhzz/url_2/url_549/193039199_mp4_h264_aac_ld_7.ts   
+   3375ms  hls-segment     GET     200     112ms  https://test-streams.mux.dev/x36xhzz/url_2/url_550/193039199_mp4_h264_aac_ld_7.ts   
+   3424ms  hls-segment     GET     200      44ms  https://test-streams.mux.dev/x36xhzz/url_2/url_551/193039199_mp4_h264_aac_ld_7.ts   
+   3530ms  hls-segment     GET     200     100ms  https://test-streams.mux.dev/x36xhzz/url_2/url_552/193039199_mp4_h264_aac_ld_7.ts   
+   3568ms  hls-segment     GET     200      34ms  https://test-streams.mux.dev/x36xhzz/url_2/url_553/193039199_mp4_h264_aac_ld_7.ts   
+   3609ms  hls-segment     GET     200      36ms  https://test-streams.mux.dev/x36xhzz/url_2/url_554/193039199_mp4_h264_aac_ld_7.ts   
+   3646ms  hls-segment     GET     200      33ms  https://test-streams.mux.dev/x36xhzz/url_2/url_555/193039199_mp4_h264_aac_ld_7.ts   
+   3694ms  hls-segment     GET     200      44ms  https://test-streams.mux.dev/x36xhzz/url_2/url_556/193039199_mp4_h264_aac_ld_7.ts   
+   3821ms  hls-segment     GET     200     123ms  https://test-streams.mux.dev/x36xhzz/url_2/url_557/193039199_mp4_h264_aac_ld_7.ts   
+   3859ms  hls-segment     GET     200      38ms  https://test-streams.mux.dev/x36xhzz/url_2/url_558/193039199_mp4_h264_aac_ld_7.ts   
+   3908ms  hls-segment     GET     200      36ms  https://test-streams.mux.dev/x36xhzz/url_2/url_559/193039199_mp4_h264_aac_ld_7.ts   
+   3964ms  hls-segment     GET     200      44ms  https://test-streams.mux.dev/x36xhzz/url_2/url_560/193039199_mp4_h264_aac_ld_7.ts   
