# Network & Console Timeline
# Generated: 2026-04-28T03:28:26.909Z
# Columns: [+offset_ms]  category        method  status  duration  url

+     77ms  other           GET     200      41ms  https://devopsdays-119f5.web.app/   
+    123ms  app-asset       GET     200      34ms  https://devopsdays-119f5.web.app/assets/index-BQ-6yWm3.css   
+    160ms  app-asset       GET     200      71ms  https://devopsdays-119f5.web.app/assets/index-BfDhOn_j.js   
+   1036ms  hls-manifest    GET     200      36ms  https://test-streams.mux.dev/x36xhzz/x36xhzz.m3u8   
+   1139ms  hls-manifest    GET     200      73ms  https://test-streams.mux.dev/x36xhzz/url_0/193039199_mp4_h264_aac_hd_7.m3u8   
+   1192ms  hls-segment     GET     200      48ms  https://test-streams.mux.dev/x36xhzz/url_0/url_462/193039199_mp4_h264_aac_hd_7.ts   
+   1512ms  hls-manifest    GET     200      27ms  https://test-streams.mux.dev/x36xhzz/url_8/193039199_mp4_h264_aac_fhd_7.m3u8   
+   1588ms  hls-segment     GET     ERR       8ms  https://test-streams.mux.dev/x36xhzz/url_8/url_591/193039199_mp4_h264_aac_fhd_7.ts ❌
              └─ net::ERR_ABORTED
+   1630ms  hls-manifest    GET     200      53ms  https://test-streams.mux.dev/x36xhzz/url_2/193039199_mp4_h264_aac_ld_7.m3u8   
+   1671ms  hls-segment     GET     200      24ms  https://test-streams.mux.dev/x36xhzz/url_2/url_526/193039199_mp4_h264_aac_ld_7.ts   
+   1764ms  hls-segment     GET     200      25ms  https://test-streams.mux.dev/x36xhzz/url_2/url_527/193039199_mp4_h264_aac_ld_7.ts   
+   1839ms  hls-segment     GET     200      24ms  https://test-streams.mux.dev/x36xhzz/url_2/url_528/193039199_mp4_h264_aac_ld_7.ts   
+   1893ms  hls-segment     GET     200      27ms  https://test-streams.mux.dev/x36xhzz/url_2/url_529/193039199_mp4_h264_aac_ld_7.ts   
+   1962ms  hls-segment     GET     200      19ms  https://test-streams.mux.dev/x36xhzz/url_2/url_530/193039199_mp4_h264_aac_ld_7.ts   
+   2023ms  hls-segment     GET     200      34ms  https://test-streams.mux.dev/x36xhzz/url_2/url_531/193039199_mp4_h264_aac_ld_7.ts   
+   2093ms  hls-segment     GET     200      23ms  https://test-streams.mux.dev/x36xhzz/url_2/url_532/193039199_mp4_h264_aac_ld_7.ts   
+   2147ms  hls-segment     GET     200      25ms  https://test-streams.mux.dev/x36xhzz/url_2/url_533/193039199_mp4_h264_aac_ld_7.ts   
+   2234ms  hls-segment     GET     200      36ms  https://test-streams.mux.dev/x36xhzz/url_2/url_534/193039199_mp4_h264_aac_ld_7.ts   
+   2304ms  hls-segment     GET     200      22ms  https://test-streams.mux.dev/x36xhzz/url_2/url_535/193039199_mp4_h264_aac_ld_7.ts   
+   2365ms  hls-segment     GET     200      24ms  https://test-streams.mux.dev/x36xhzz/url_2/url_536/193039199_mp4_h264_aac_ld_7.ts   
+   2410ms  hls-segment     GET     200      22ms  https://test-streams.mux.dev/x36xhzz/url_2/url_537/193039199_mp4_h264_aac_ld_7.ts   
+   2452ms  hls-segment     GET     200      29ms  https://test-streams.mux.dev/x36xhzz/url_2/url_538/193039199_mp4_h264_aac_ld_7.ts   
+   2519ms  hls-segment     GET     200      30ms  https://test-streams.mux.dev/x36xhzz/url_2/url_539/193039199_mp4_h264_aac_ld_7.ts   
+   2574ms  hls-segment     GET     200      17ms  https://test-streams.mux.dev/x36xhzz/url_2/url_540/193039199_mp4_h264_aac_ld_7.ts   
+   2617ms  hls-segment     GET     200      25ms  https://test-streams.mux.dev/x36xhzz/url_2/url_541/193039199_mp4_h264_aac_ld_7.ts   
+   2656ms  hls-segment     GET     200      24ms  https://test-streams.mux.dev/x36xhzz/url_2/url_542/193039199_mp4_h264_aac_ld_7.ts   
+   2686ms  hls-segment     GET     200      24ms  https://test-streams.mux.dev/x36xhzz/url_2/url_543/193039199_mp4_h264_aac_ld_7.ts   
+   2724ms  hls-segment     GET     200      22ms  https://test-streams.mux.dev/x36xhzz/url_2/url_544/193039199_mp4_h264_aac_ld_7.ts   
+   2761ms  hls-segment     GET     200      20ms  https://test-streams.mux.dev/x36xhzz/url_2/url_545/193039199_mp4_h264_aac_ld_7.ts   
+   2791ms  hls-segment     GET     200      18ms  https://test-streams.mux.dev/x36xhzz/url_2/url_546/193039199_mp4_h264_aac_ld_7.ts   
+   2814ms  hls-segment     GET     200      19ms  https://test-streams.mux.dev/x36xhzz/url_2/url_547/193039199_mp4_h264_aac_ld_7.ts   
+   2843ms  hls-segment     GET     200      19ms  https://test-streams.mux.dev/x36xhzz/url_2/url_548/193039199_mp4_h264_aac_ld_7.ts   
+   2866ms  hls-segment     GET     200      18ms  https://test-streams.mux.dev/x36xhzz/url_2/url_549/193039199_mp4_h264_aac_ld_7.ts   
+   2893ms  hls-segment     GET     200      23ms  https://test-streams.mux.dev/x36xhzz/url_2/url_550/193039199_mp4_h264_aac_ld_7.ts   
+   2917ms  hls-segment     GET     200      19ms  https://test-streams.mux.dev/x36xhzz/url_2/url_551/193039199_mp4_h264_aac_ld_7.ts   
+   2942ms  hls-segment     GET     200      19ms  https://test-streams.mux.dev/x36xhzz/url_2/url_552/193039199_mp4_h264_aac_ld_7.ts   
+   2966ms  hls-segment     GET     200      19ms  https://test-streams.mux.dev/x36xhzz/url_2/url_553/193039199_mp4_h264_aac_ld_7.ts   
+   2992ms  hls-segment     GET     200      20ms  https://test-streams.mux.dev/x36xhzz/url_2/url_554/193039199_mp4_h264_aac_ld_7.ts   
+   3015ms  hls-segment     GET     200      18ms  https://test-streams.mux.dev/x36xhzz/url_2/url_555/193039199_mp4_h264_aac_ld_7.ts   
+   3038ms  hls-segment     GET     200      18ms  https://test-streams.mux.dev/x36xhzz/url_2/url_556/193039199_mp4_h264_aac_ld_7.ts   
+   3066ms  hls-segment     GET     200      20ms  https://test-streams.mux.dev/x36xhzz/url_2/url_557/193039199_mp4_h264_aac_ld_7.ts   
+   3094ms  hls-segment     GET     200      22ms  https://test-streams.mux.dev/x36xhzz/url_2/url_558/193039199_mp4_h264_aac_ld_7.ts   
